credit,summe_einnahmen,summe_ausgaben,frei_verfuegbares_einkommen,verhaeltnis_einkommen_zu_rate,laufzeit,kreditbetrag,score_wert,schufa_score,anzahl_kinder,anzahl_personen,anzahl_kfz,beschaeftigungs_art,anrede,familienstand,wohnsituation,einkommen_unselbstaendig,rente,ein_unterhalt,kindergeld,ein_miete,sonstiges,aus_miete,wohnnebenkosten,aus_unterhalt,kranken_pflege_versicherung,lebensversicherung,baufinanzierung,bausparen,beschaeftigt_seit,alter,wohnhaft
ABGELEHNT,1560.0,1271.0,289.0,0.6,84,10000.0,-13,9709,1,3,1,ANGESTELLTER,HERR,VERHEIRATET,MIETE,1366.0,0.0,0.0,194.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-03-01 00:00:00,34.0,2.0
ABGELEHNT,1564.0,1290.0,274.0,0.65,48,5000.0,-21,9783,1,3,1,ANGESTELLTER,HERR,VERHEIRATET,MIETE,1370.0,0.0,0.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,9.0,0.0,0.0,2016-07-01 00:00:00,32.0,10.0
ABGELEHNT,2764.0,1950.0,814.0,0.65,60,19000.0,370,9952,1,3,1,ANGESTELLTER,HERR,LEBENSGEMEINSCHAFT,MIETE,2570.0,0.0,0.0,194.0,0.0,0.0,800.0,0.0,0.0,0.0,80.0,0.0,0.0,1995-07-01 00:00:00,52.0,9.0
ABGELEHNT,1938.0,1601.0204081632598,336.0,0.7,36,5000.0,211,9721,2,4,1,ANGESTELLTER,FRAU,VERHEIRATET,SONSTIGES,1550.0,0.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-11-01 00:00:00,42.0,12.0
ABGELEHNT,4665.0,1321.0,3344.0,0.6,84,15000.0,480,9872,0,2,1,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,4665.0,0.0,0.0,0.0,0.0,,,321.0,0.0,,0.0,0.0,0.0,2004-05-01 00:00:00,78.0,41.0
ABGELEHNT,1380.0,850.0,530.0,0.6,72,15000.0,280,9881,0,1,1,ANGESTELLTER,HERR,LEDIG,EIGENTUM,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,2016-04-01 00:00:00,46.0,46.0
ABGELEHNT,2818.0,2428.0,390.0,0.6,84,10000.0,-33,9623,2,3,1,ANGESTELLTER,FRAU,GESCHIEDEN,MIETE,1800.0,0.0,630.0,388.0,0.0,0.0,760.0,0.0,0.0,0.0,0.0,0.0,0.0,2008-08-01 00:00:00,31.0,7.0
ABGELEHNT,1300.0,920.0,380.0,0.65,60,9000.0,355,9934,0,2,2,ANGESTELLTER,FRAU,VERHEIRATET,SONSTIGES,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995-05-01 00:00:00,61.0,39.0
ABGELEHNT,10417.0,5048.0,5369.0,0.45,36,10000.0,208,9903,1,3,2,SELBSTAENDIG,HERR,VERHEIRATET,MIETE,,,,194.0,1020.0,,1300.0,,,803.0,300.0,1300.0,,1997-10-01 00:00:00,46.0,8.0
ABGELEHNT,2688.0,1780.0,908.0,0.6,84,15000.0,11,9797,2,4,0,ARBEITER,HERR,VERHEIRATET,MIETE,2300.0,0.0,0.0,388.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,2016-12-01 00:00:00,37.0,12.0
